Time,Open,High,Low,Last,Change,Volume
2/27/2009,24.665,24.83,23.62,23.67,-1.62,38805800
2/26/2009,26.83,27.045,25.27,25.29,-1.52,26671600
2/25/2009,27.295,27.39,26.64,26.81,-0.56,18550000
2/24/2009,26.875,27.465,26.81,27.37,0.67,17771000
2/23/2009,26.72,27.245,26.635,26.7,-0.315,13654000
2/20/2009,27,27.33,26.8,27.015,-0.215,17933200
2/19/2009,26.82,27.4,26.82,27.23,0.13,14172600
2/18/2009,27.08,27.23,26.82,27.1,0.135,12555600
2/17/2009,27.29,27.385,26.67,26.965,-0.505,15646200
2/13/2009,28.035,28.15,27.375,27.47,-0.595,14520000
2/12/2009,27.64,28.065,27.28,28.065,0.215,13502000
2/11/2009,28.05,28.115,27.645,27.85,-0.045,15519800
2/10/2009,28.535,28.625,27.685,27.895,-0.73,22929800
2/9/2009,28.6,28.68,28.14,28.625,0.05,22421600
2/6/2009,28.24,28.62,28.185,28.575,0.31,20810200
2/5/2009,27.92,28.35,27.55,28.265,0.31,16845600
2/4/2009,28.575,28.65,27.88,27.955,-0.535,22491800
2/3/2009,27.945,28.695,27.68,28.49,0.705,30364600
2/2/2009,26.92,27.92,26.555,27.785,0.065,19297200
1/30/2009,27.51,27.915,27.36,27.72,0.015,24681800
1/29/2009,27.295,27.74,27.14,27.705,0.225,27861600
1/28/2009,27.355,27.565,26.955,27.48,0.285,27919200
1/27/2009,26.96,27.405,26.71,27.195,0.17,21531600
1/26/2009,26.575,27.245,26.175,27.025,0.62,22725600
1/23/2009,26.23,26.54,26,26.405,-0.1,17120400
1/22/2009,25.825,26.61,25.7,26.505,0.345,24346400
1/21/2009,25.15,26.25,24.865,26.16,1.56,27238200
1/20/2009,25.22,25.57,24.57,24.6,-0.36,19347600
1/16/2009,24.78,25.175,24.67,24.96,0.35,25691600
1/15/2009,24.75,24.805,24.085,24.61,-0.125,20463800
1/14/2009,24.94,24.975,24.505,24.735,-0.295,16047600
1/13/2009,24.745,25.195,24.58,25.03,0,16823800
1/12/2009,25.66,25.66,24.75,25.03,-0.555,23829400
1/9/2009,25.59,26.06,25.455,25.585,-0.015,13451200
1/8/2009,25.35,25.91,25.35,25.6,0.28,17466600
1/7/2009,25.185,25.69,25.125,25.32,-0.14,21991600
1/6/2009,26.425,26.61,25.03,25.46,-0.86,27992800
1/5/2009,26.6,26.74,26.035,26.32,-0.46,12564200
1/2/2009,26.765,26.925,26.185,26.78,0.095,12631200
12/31/2008,26.625,26.87,26.535,26.685,0.105,11312000
12/30/2008,26.25,26.63,26.23,26.58,0.495,10231200
12/29/2008,26.585,26.585,25.775,26.085,-0.17,9010000
12/26/2008,26.405,26.465,26.095,26.255,-0.07,3867200
12/24/2008,26.3,26.46,26.16,26.325,0.095,4029600
12/23/2008,26.575,26.64,26.19,26.23,-0.125,13972400
12/22/2008,26.195,26.45,25.77,26.355,0.22,15934800
12/19/2008,26.5,26.625,26.07,26.135,0.14,25679400
12/18/2008,26.175,26.55,25.65,25.995,-0.035,18391000
12/17/2008,26.31,26.51,25.93,26.03,-0.55,15186000
12/16/2008,26.015,26.72,25.835,26.58,0.76,19307000
12/15/2008,25.45,26.015,25.27,25.82,0.445,14334600
12/12/2008,25.025,25.39,24.67,25.375,-0.14,16503800
12/11/2008,25.76,26.03,25.395,25.515,-0.245,16200800
12/10/2008,25.915,26.25,25.58,25.76,-0.225,13397200
12/9/2008,26.47,27.01,25.75,25.985,-0.475,16615000
12/8/2008,26.85,26.87,26.365,26.46,0.085,17228600
12/5/2008,25.77,26.6,25.22,26.375,0.36,16592200
12/4/2008,26.19,26.705,25.78,26.015,-0.56,14229000
12/3/2008,25.585,26.74,25.585,26.575,0.59,15827200
12/2/2008,25.4,26.065,25.235,25.985,0.91,15514600
12/1/2008,25.595,25.925,25.005,25.075,-1.12,16284000
11/28/2008,25.47,26.335,25.25,26.195,0.51,6811600
11/26/2008,25.085,25.745,24.8,25.685,0.075,16333800
11/25/2008,25.655,26.125,25.125,25.61,0.22,31639400
11/24/2008,25.975,25.975,25.195,25.39,-0.37,28968600
11/21/2008,25.315,25.85,24.135,25.76,0.585,35504200
11/20/2008,27.13,27.205,24.75,25.175,-2.085,34243200
11/19/2008,28.26,28.635,27.21,27.26,-1.025,20542800
11/18/2008,27.895,28.44,27.25,28.285,0.625,22453200
11/17/2008,27.05,28.355,27.045,27.66,0.13,16222000
11/14/2008,28.03,28.665,27.47,27.53,-1.04,16086600
11/13/2008,27.3,28.655,26.785,28.57,1.32,22474400
11/12/2008,27.745,28.065,27.07,27.25,-0.335,14866000
11/11/2008,27.45,28.235,27.205,27.585,-0.105,13707200
11/10/2008,27.88,28.44,27.65,27.69,0.04,15013600
11/7/2008,27,27.865,26.785,27.65,0.78,13140600
11/6/2008,27.37,27.965,26.685,26.87,-0.72,17304200
11/5/2008,28,28.7,27.415,27.59,-0.615,18401000
11/4/2008,28.27,28.5,27.785,28.205,0.205,13845000
11/3/2008,27.56,28.13,27.375,28,0.425,12796200
10/31/2008,27.185,28,27.01,27.575,0.295,17223600
10/30/2008,27.8,28,26.595,27.28,0.195,16265400
10/29/2008,27.5,27.75,26.485,27.085,-0.415,20232400
10/28/2008,26.75,27.66,26.06,27.5,0.915,26739200
10/27/2008,26.82,27.59,26.44,26.585,-0.565,17689600
10/24/2008,25.945,27.795,25.6,27.15,-0.36,20061400
10/23/2008,27.115,28.115,26.365,27.51,0.58,26642400
10/22/2008,27.49,27.875,26.275,26.93,-1.065,22021000
10/21/2008,28.86,28.925,27.885,27.995,-0.78,16018000
10/20/2008,28.365,28.995,27.685,28.775,1.045,19006000
10/17/2008,27.425,29.12,26.37,27.73,0.04,28811200
10/16/2008,27.005,28,25.525,27.69,0.75,34936400
10/15/2008,28.005,28.05,26.605,26.94,-0.45,28806800
10/14/2008,28.285,28.58,26.37,27.39,0.285,28284800
10/13/2008,26.375,27.48,25.53,27.105,2.38,23683000
10/10/2008,23.96,26.115,22.875,24.725,-0.4,40464400
10/9/2008,27.665,27.855,25.12,25.125,-2.52,27270400
10/8/2008,27.5,28.445,26.425,27.645,-0.295,30118600
10/7/2008,28.285,29.12,27.855,27.94,-0.26,24038000
10/6/2008,28.995,29.38,27.29,28.2,-1.055,25668000
10/3/2008,29.74,29.875,29.16,29.255,-0.195,19598000
10/2/2008,28.94,29.965,28.925,29.45,0.305,24012000
10/1/2008,28.63,29.25,28.5,29.145,0.355,15836800
9/30/2008,29.425,29.475,28.52,28.79,0.09,25075000
9/29/2008,29.44,30.39,28.21,28.7,-1,21211400
9/26/2008,29.42,29.795,29.345,29.7,0.035,12176600
9/25/2008,29.445,29.865,29.34,29.665,0.24,13290400
9/24/2008,29.275,29.605,29.165,29.425,0.17,14398000
9/23/2008,28.735,29.59,28.735,29.255,0.685,18327200
9/22/2008,29.18,29.455,28.455,28.57,-0.785,10663800
9/19/2008,29.495,29.795,28.875,29.355,0.315,21912400
9/18/2008,28.875,29.525,28.325,29.04,0.415,21026200
9/17/2008,29.61,29.785,28.25,28.625,-1.28,21638000
9/16/2008,28.75,29.975,28.75,29.905,0.665,24237400
9/15/2008,29.12,29.735,28.995,29.24,-0.305,15615800
9/12/2008,29.375,29.65,29.06,29.545,-0.11,13127400
9/11/2008,28.93,29.715,28.85,29.655,0.705,17088200
9/10/2008,28.835,29.315,28.58,28.95,0.21,13029000
9/9/2008,29.355,29.48,28.705,28.74,-0.47,14145400
9/8/2008,29.08,29.42,28.665,29.21,0.705,13472000
9/5/2008,28.105,28.595,27.98,28.505,0.22,12411800
9/4/2008,28.76,28.84,28.225,28.285,-0.68,16481400
9/3/2008,29.4,29.65,28.875,28.965,-0.54,12060000
9/2/2008,29.06,29.67,28.775,29.505,0.79,15571600
8/29/2008,29.235,29.41,28.715,28.715,-0.66,7951600
8/28/2008,28.98,29.435,28.88,29.375,0.515,8064200
8/27/2008,28.78,29.005,28.65,28.86,0.075,6384000
8/26/2008,28.92,28.99,28.55,28.785,-0.095,5218200
8/25/2008,29.185,29.215,28.655,28.88,-0.36,8770000
8/22/2008,29.07,29.46,29.005,29.24,0.22,6796800
8/21/2008,28.975,29.07,28.755,29.02,-0.15,7631400
8/20/2008,29.33,29.485,28.94,29.17,-0.26,9484600
8/19/2008,29.325,29.745,29.255,29.43,-0.05,6761800
8/18/2008,29.87,29.87,29.29,29.48,-0.33,8724800
8/15/2008,29.34,29.91,29.14,29.81,0.46,11078000
8/14/2008,29.08,29.65,28.81,29.35,0.125,10576200
8/13/2008,29.46,29.625,29.07,29.225,-0.215,10078800
8/12/2008,29.485,29.65,29.26,29.44,-0.01,10129800
8/11/2008,29.44,29.585,29.225,29.45,-0.065,10034000
8/8/2008,29.075,29.595,29.075,29.515,0.335,15272400
8/7/2008,29.325,29.49,29,29.18,-0.21,10210800
